City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Bluff,NZ,2022-05-15 20:33:55,-46.6,168.3333,37.79599999999999,85,11,3.76
91,Ballina,AU,2022-05-15 20:33:55,-28.8667,153.5667,69.78199999999998,94,10,1.84
92,Padang,ID,2022-05-15 20:33:56,-0.9492,100.3543,77.70200000000006,90,88,1.3
93,Geraldton,AU,2022-05-15 20:30:56,-28.7667,114.6,55.81400000000002,82,0,5.14
94,Makakilo City,US,2022-05-15 20:33:57,21.3469,-158.0858,80.92399999999992,56,0,5.14
95,Barentu,ER,2022-05-15 20:33:58,15.1139,37.5928,85.08199999999994,18,0,3.14
96,Mataura,NZ,2022-05-15 20:33:58,-46.1927,168.8643,37.47199999999998,94,12,1.25
97,Qunduz,AF,2022-05-15 20:33:59,36.729,68.857,69.512,50,7,1.15
98,Ancud,CL,2022-05-15 20:34:00,-41.8697,-73.8203,50.738,71,100,3.9
99,Bethel,US,2022-05-15 20:31:11,41.3712,-73.414,82.04000000000002,65,40,3.6
100,Praia,CV,2022-05-15 20:34:01,14.9215,-23.5087,81.13999999999993,47,0,11.83
101,Khandyga,RU,2022-05-15 20:34:02,62.6667,135.6,42.331999999999994,55,100,4.62
102,Sitka,US,2022-05-15 20:34:02,57.0531,-135.33,53.491999999999905,50,75,3.09
103,Chunskiy,RU,2022-05-15 20:33:17,56.0815,99.6342,53.40199999999999,59,87,0.22
104,Claresholm,CA,2022-05-15 20:34:03,50.0333,-113.5852,66.11000000000007,22,78,2.06
105,Doha,QA,2022-05-15 20:31:02,25.2867,51.5333,85.98200000000003,49,0,2.06
106,Najran,SA,2022-05-15 20:34:04,17.4924,44.1277,77.64799999999997,9,27,1.12
107,Castro,BR,2022-05-15 20:34:05,-24.7911,-50.0119,56.55200000000008,95,25,2.37
108,Shache,CN,2022-05-15 20:34:06,38.4167,77.2406,64.382,46,100,4.55
109,Sangar,RU,2022-05-15 20:34:06,63.9242,127.4739,30.97399999999999,72,100,0.35
110,Ayagoz,KZ,2022-05-15 20:34:07,47.9714,80.4392,50.48600000000005,93,7,2.62
111,Betsiamites,CA,2022-05-15 20:34:08,48.9413,-68.646,50.396000000000015,82,100,7.33
112,Georgetown,MY,2022-05-15 20:30:45,5.4112,100.3354,80.52800000000008,99,40,3.6
113,Carnarvon,AU,2022-05-15 20:34:09,-24.8667,113.6333,65.96599999999995,41,0,5.35
114,Thinadhoo,MV,2022-05-15 20:34:09,0.5333,72.9333,83.858,71,96,7.44
115,Pisco,PE,2022-05-15 20:34:10,-13.7,-76.2167,64.45400000000001,82,8,5.14
116,Ntungamo,UG,2022-05-15 20:34:11,-0.8833,29.65,63.30200000000008,96,32,1.36
117,Victoria,HK,2022-05-15 20:32:00,22.2855,114.1577,69.2419999999999,86,100,2.68
118,Dikson,RU,2022-05-15 20:34:12,73.5069,80.5464,31.910000000000025,95,100,4.87
119,Qui Nhon,VN,2022-05-15 20:34:12,13.7667,109.2333,79.43,87,100,2.06
120,Klaksvik,FO,2022-05-15 20:34:13,62.2266,-6.589,47.31800000000004,92,94,4.56
121,Vaitape,PF,2022-05-15 20:34:14,-16.5167,-151.75,80.29400000000004,66,46,2.78
122,Conakry,GN,2022-05-15 20:34:14,9.538,-13.6773,84.27199999999999,79,20,3.09
123,Houma,US,2022-05-15 20:29:47,29.5958,-90.7195,89.99600000000004,53,40,3.09
124,Berlevag,NO,2022-05-15 20:34:16,70.8578,29.0864,39.146000000000015,81,75,5.14
125,Opuwo,NA,2022-05-15 20:34:17,-18.0607,13.84,68.43199999999996,33,68,0.76
126,Qaanaaq,GL,2022-05-15 20:34:17,77.484,-69.3632,25.736000000000047,68,100,1.52
127,Qasigiannguit,GL,2022-05-15 20:34:18,68.8193,-51.1922,26.852000000000032,76,6,1.59
128,Cap-Aux-Meules,CA,2022-05-15 20:34:19,47.3821,-61.8597,42.853999999999985,93,75,5.14
129,Los Llanos De Aridane,ES,2022-05-15 20:34:20,28.6585,-17.9182,67.74799999999999,93,75,1.79
130,Aklavik,CA,2022-05-15 20:34:20,68.2191,-135.0107,31.819999999999993,98,100,2.99
131,Jasper,US,2022-05-15 20:34:21,37.2001,-94.3502,64.45400000000001,94,75,3.6
